reviews;;
"[%Uxtc%] Cakep 
tag ngasal [%Ttac%] [%aFKI%] [%LROE%] [%TcCV%]";;
"[%HQrs%] [%sLSR%] [%VPOR%] [%FAAA%] 
                                 Menentang logika , Data bicara!
[%MPmT%]
Ketika aku merekomendasikan saham bank disaat suku bunga akan naik. ada yang protes! "" kredit macet akan bertambah, kredit melambat dan lain ""
Itu adalah logika, memang benar apa adanya demikian. data bicara lain, di thn 2006 2007 saat suku bunga diatas 8%, berapa ROE BBRI BBC?  DI tahun  2014 saat suku bunga mendekati 8% berapa roe BBRI BBCA?  Di thn 2017 saat suku bunga rendah sekitar 4% an, di saat suku bunga lebih rendah lagi  thn 2021 di bawah 4%, berapa roe bbri bbca?
Terihat dari data bawah semakin tinggi suku bunga semakin tinggi roe bbri bbca, semakin rendah suku bunga semakin rendah juga roenya. 
Jadi saya termasuk yang pro terhadap investasi saham bank di saat suku bunga akan naik.";;
[%Ogwh%] TIM 8.125 YG MASIH NAHAN MANA SUARANYAA😂;;
"Bapa Mulai menarik dari segi akumulasi dan teknikal
area entry 160-162
Break 162 menandakan break resisten
area stoploss 158
[%uHhK%] [%vFpX%] [%oDfn%] [%LtSL%] [%ihWi%]";;
[%PPoM%] akankah? setelah kmren kmren sempet 7000 wkwkw;;
"[%SRZA%] hayo baru iPO lgs roket
random tag
[%tapY%] [%NYAZ%] [%QqOW%]";;
[%inTn%] lahh, malah diturunin... ampunnnnn;;
"Tag for upvote 
[%jIes%] [%lDvp%] [%XNte%] [%oEUM%] [%Psej%]";;
"mau nanya dong, inikan kemaren dapet yg double depo gitu, terus ga saya pake, kok tetep jadinya minus ya di balance?
random tag:
[%SOkA%] [%dbEU%] [%KUkP%] [%zaax%] [%BKsL%]";;
"[%FcVo%] DILEPAS ASING
TAPI [%WbOp%] [%ZyBW%] [%tlfE%] DI AKUMULASI ASING
[%WDhX%]
[%ixaD%]";;
[%JXzL%] [%hYYk%] [%SWTo%] [%Qinq%] [%AMEF%];;
[%PGTn%] [%VhuJ%] [%oCkh%] [%vZVW%] [%QhUS%];;
"[%yuLI%] 
Minimal maksimal ya !🤓
jangan maintenance lagi .. mau Tp hari ini 
[%qizu%] [%kzjw%] [%amkE%] [%wBIE%] [%uqQo%]";;
[%JhZi%] trun dulu yukk, aku mau masuk;;
"Nah kan bener... ada nilai uang kalau kita bisa menjaga lingkungan. 
link berita :
[%uHPJ%]
[%snti%]
[%Ybga%]
[%ByiL%]
[%MgFj%]
[%foTP%]";;
mantap ini bisa jadi tinta hitam di lap-keu Q1 tahun depan dan seterusnya....👍 [%PmJY%] [%qZpp%] [%ooRS%] [%SuGi%];;
"Sebagai trader pemula, gua kudu wajib harus CATET semua trading gua. Mau itu day trade, swing, investing pokoknya HARUS DICATET.
Cuma karena gua punya usaha yang berjalan sekaligus jadi semi-bapak rumah tangga, gua cuma punya waktu nyatet di malam hari (tepatnya di atas jam 9 saat anak gua udah tidur).
Cuma lagi-lagi Stockbit malam ini “main tenis” lagi dan segala order, history, dan portofolio ga bisa dibuka.
Pencatatan gua mundur jadi besok paginya, yang sebenarnya waktu di pagi hari itu, waktunya gua buat research &amp; planning. WAKTU research &amp; planning gua jadi KEPOTONG.
Bahkan tadi pagi di history ga muncul tuh trading-trading gua kemaren.
Haiyahhhhhhhh… ya sudahlah 🤣🤣🤣
Stockbit memang cocok untuk pemula, tapi mungkin ada sebagian dari kita yang sudah tumbuh melebihi keterbatasan Stockbit.
Mungkin ini saatnya gua tambah atau pindah sekuritas.
Stockbit is where I started, but not where I would end with.
Random Tag [%BZOv%] [%nGFP%] [%jLDs%] [%PiNw%] [%TWcJ%]";;
"Yang mau info info tentang seputar saham 
langsung Aja msuk link Di BIO
GRATIS !
[%kgMx%] [%gfdq%] [%pSuT%] [%oCWW%] [%FqdT%]";;
